"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"1","p(Flash)psi(tree.cover.site)",5,1096.39475993002,0,1,0.302595274039976,-543.092116807113,0.302595274039976
"7","p(.)psi(tree.cover.site)",4,1097.23204935813,0.837289428114218,0.657937909838268,0.1990889021288,-544.546094609135,0.501684176168775
"4","p(Flash)psi(global.in.site)",6,1098.11869298431,1.72393305429682,0.422330740290941,0.127795286093843,-542.911459168213,0.629479462262619
"2","p(Cam.Days)psi(tree.cover.site)",5,1098.12211692575,1.72735699573309,0.421608340969874,0.127576691473319,-543.95579530498,0.757056153735937
"3","p(tree)psi(tree.cover.site)",5,1099.02686103231,2.63210110229579,0.268192425330789,0.0811537604384159,-544.408167358261,0.838209914174353
"8","p(.)psi(global.in.site)",5,1099.03829453293,2.64353460291204,0.266663610291195,0.0806911482325535,-544.413884108569,0.918901062406907
"5","p(Cam.Days)psi(global.in.site)",6,1100.04463698626,3.64987705624071,0.161227554786003,0.0487866961232659,-543.874431169185,0.967687758530173
"6","p(tree)psi(global.in.site)",6,1100.86897476314,4.47421483312723,0.106766890286643,0.0323071564246828,-544.286600057628,0.999994914954855
"9","p(.)psi(.)",2,1118.38245503988,21.9876951098677,1.68047738373677e-05,5.0850451444981e-06,-557.170394186608,1
